status_account,month_duration,credit_history,purpose,credit_amount,status_savings,years_employment,payment_to_income_ratio,status_and_sex,secondary_obligor,residence_since,collateral,age,other_installment_plans,housing,n_credits,job,n_guarantors,telephone,is_foreign_worker,target,credit_mix_score,installment_amount,age_bucket
< 0 DM,24,existing credits paid back duly till now,radio/television,1282,100 to < 500 DM,1 to < 4 years,4,female : divorced/separated/married,none,2,real estate,32,none,own,1,unskilled - resident,1,none,yes,0,0.031249999023437534,53.41666444097231,25-35
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2424,unknown/ no savings account,>= 7 years,4,male : single,none,4,car,53,none,own,2,skilled employee/ official,1,none,yes,1,0.03773584834460664,100.99999579166683,45-55
< 0 DM,30,no credits taken/ all credits paid back duly,business,8072,unknown/ no savings account,< 1 year,2,male : single,none,3,real estate,25,bank,own,3,skilled employee/ official,1,none,yes,1,0.11999999520000018,269.06665769777806,<25
0 to < 200 DM,24,existing credits paid back duly till now,car (used),12579,< 100 DM,>= 7 years,4,female : divorced/separated/married,none,2,savings agreement/life insurance,44,none,for free,1,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,0,0.022727272210743815,524.1249781614592,35-45
no checking account,24,existing credits paid back duly till now,radio/television,3430,500 to < 1000 DM,>= 7 years,3,male : single,none,2,real estate,31,none,own,1,skilled employee/ official,2,"yes, registered under the customers name",yes,1,0.032258063475546335,142.9166607118058,25-35
no checking account,9,critical account/ other credits existing (not at this bank),car (new),2134,< 100 DM,1 to < 4 years,4,male : single,none,4,real estate,48,none,own,3,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.0624999986979167,237.11108476543504,45-55
< 0 DM,6,existing credits paid back duly till now,radio/television,2647,500 to < 1000 DM,1 to < 4 years,2,male : single,none,3,none,44,none,rent,1,skilled employee/ official,2,none,yes,1,0.022727272210743815,441.16659313890113,35-45
< 0 DM,10,critical account/ other credits existing (not at this bank),car (new),2241,< 100 DM,< 1 year,1,male : single,none,3,none,48,none,rent,2,unskilled - resident,2,none,no,1,0.041666665798611134,224.09997759000225,45-55
0 to < 200 DM,12,critical account/ other credits existing (not at this bank),car (used),1804,100 to < 500 DM,< 1 year,3,male : single,none,4,car,44,none,own,1,skilled employee/ official,1,none,yes,1,0.022727272210743815,150.3333208055566,35-45
no checking account,10,critical account/ other credits existing (not at this bank),furniture/equipment,2069,unknown/ no savings account,1 to < 4 years,2,male : married/widowed,none,1,real estate,26,none,own,2,skilled employee/ official,1,none,no,1,0.07692307396449716,206.8999793100021,25-35
< 0 DM,6,existing credits paid back duly till now,furniture/equipment,1374,< 100 DM,1 to < 4 years,1,male : single,none,2,none,36,bank,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,1,0.027777777006172864,228.99996183333968,35-45
no checking account,6,no credits taken/ all credits paid back duly,radio/television,426,< 100 DM,>= 7 years,4,male : married/widowed,none,4,real estate,39,none,own,1,unskilled - resident,1,none,yes,1,0.025641024983563465,70.99998816666864,35-45
>= 200 DM,12,all credits at this bank paid back duly,radio/television,409,>= 1000 DM,1 to < 4 years,3,female : divorced/separated/married,none,3,none,42,none,rent,2,skilled employee/ official,1,none,yes,1,0.0476190464852608,34.0833304930558,35-45
0 to < 200 DM,7,existing credits paid back duly till now,radio/television,2415,< 100 DM,1 to < 4 years,3,male : single,guarantor,2,none,34,none,own,1,skilled employee/ official,1,none,yes,1,0.02941176384083048,344.99995071429277,25-35
< 0 DM,60,delay in paying off in the past,business,6836,< 100 DM,>= 7 years,3,male : single,none,4,savings agreement/life insurance,63,none,own,2,skilled employee/ official,1,"yes, registered under the customers name",yes,0,0.031746031242126486,113.93333143444448,55-65
0 to < 200 DM,18,existing credits paid back duly till now,business,1913,>= 1000 DM,< 1 year,3,male : married/widowed,none,3,none,36,bank,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.027777777006172864,106.27777187345711,35-45
< 0 DM,24,existing credits paid back duly till now,furniture/equipment,4020,< 100 DM,1 to < 4 years,2,male : single,none,2,real estate,27,stores,own,1,skilled employee/ official,1,none,yes,1,0.037037035665294975,167.4999930208336,25-35
0 to < 200 DM,18,existing credits paid back duly till now,car (new),5866,100 to < 500 DM,1 to < 4 years,2,male : single,none,2,real estate,30,none,own,2,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.06666666444444451,325.88887078395163,25-35
no checking account,12,critical account/ other credits existing (not at this bank),business,1264,unknown/ no savings account,>= 7 years,4,male : single,none,4,savings agreement/life insurance,57,none,rent,1,unskilled - resident,1,none,yes,1,0.017543859341335802,105.33332455555629,55-65
>= 200 DM,12,existing credits paid back duly till now,furniture/equipment,1474,< 100 DM,< 1 year,4,female : divorced/separated/married,none,1,car,33,bank,own,1,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,1,0.030303029384756687,122.83332309722309,25-35
0 to < 200 DM,45,critical account/ other credits existing (not at this bank),radio/television,4746,< 100 DM,< 1 year,4,male : single,none,2,car,25,none,own,2,unskilled - resident,1,none,yes,0,0.07999999680000013,105.46666432296303,<25
no checking account,48,critical account/ other credits existing (not at this bank),education,6110,< 100 DM,1 to < 4 years,1,male : single,none,3,savings agreement/life insurance,31,bank,for free,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.032258063475546335,127.291664014757,25-35
>= 200 DM,18,existing credits paid back duly till now,radio/television,2100,< 100 DM,1 to < 4 years,4,male : single,co-applicant,2,none,37,stores,own,1,skilled employee/ official,1,none,yes,0,0.027027026296566857,116.66666018518553,35-45
>= 200 DM,10,existing credits paid back duly till now,domestic appliances,1225,< 100 DM,1 to < 4 years,2,male : single,none,2,real estate,37,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.027027026296566857,122.49998775000124,35-45
0 to < 200 DM,9,existing credits paid back duly till now,radio/television,458,< 100 DM,1 to < 4 years,4,male : single,none,3,none,24,none,own,1,skilled employee/ official,1,none,yes,1,0.041666664930555625,50.88888323456853,<25
no checking account,30,existing credits paid back duly till now,radio/television,2333,500 to < 1000 DM,>= 7 years,4,male : single,none,2,real estate,30,bank,own,1,management/ self-employed/highly qualified employee,1,none,yes,1,0.033333332222222255,77.76666407444453,25-35
0 to < 200 DM,12,existing credits paid back duly till now,radio/television,1158,500 to < 1000 DM,1 to < 4 years,3,male : divorced/separated,none,1,real estate,26,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.03846153698224858,96.49999195833401,25-35
0 to < 200 DM,18,delay in paying off in the past,repairs,6204,< 100 DM,1 to < 4 years,2,male : single,none,4,none,44,none,own,1,unskilled - resident,2,"yes, registered under the customers name",yes,1,0.022727272210743815,344.66664751851954,35-45
< 0 DM,30,critical account/ other credits existing (not at this bank),car (used),6187,100 to < 500 DM,4 to < 7 years,1,male : married/widowed,none,4,real estate,24,none,rent,2,skilled employee/ official,1,none,yes,1,0.08333332986111125,206.2333264588891,<25
< 0 DM,48,critical account/ other credits existing (not at this bank),car (used),6143,< 100 DM,>= 7 years,4,female : divorced/separated/married,none,4,savings agreement/life insurance,58,stores,for free,2,unskilled - resident,1,none,yes,0,0.03448275802615935,127.9791640004341,55-65
no checking account,11,critical account/ other credits existing (not at this bank),car (new),1393,< 100 DM,< 1 year,4,female : divorced/separated/married,none,4,real estate,35,none,own,2,management/ self-employed/highly qualified employee,1,none,yes,1,0.057142855510204135,126.636352123968,25-35
no checking account,36,existing credits paid back duly till now,radio/television,2299,500 to < 1000 DM,>= 7 years,4,male : single,none,4,real estate,39,none,own,1,skilled employee/ official,1,none,yes,1,0.025641024983563465,63.861109337191415,35-45
< 0 DM,6,existing credits paid back duly till now,car (used),1352,500 to < 1000 DM,unemployed,1,female : divorced/separated/married,none,2,car,23,none,rent,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",yes,1,0.04347825897920613,225.33329577778403,<25
no checking account,11,critical account/ other credits existing (not at this bank),car (new),7228,< 100 DM,1 to < 4 years,1,male : single,none,4,car,39,none,own,2,unskilled - resident,1,none,yes,1,0.05128204996712693,657.0908493553774,35-45
no checking account,12,existing credits paid back duly till now,radio/television,2073,100 to < 500 DM,1 to < 4 years,4,female : divorced/separated/married,co-applicant,2,none,28,none,own,1,skilled employee/ official,1,none,yes,1,0.035714284438775556,172.74998560416788,25-35
0 to < 200 DM,24,delay in paying off in the past,furniture/equipment,2333,unknown/ no savings account,< 1 year,4,male : single,none,2,car,29,bank,own,1,unskilled - resident,1,none,yes,1,0.034482757431629055,97.20832928298627,25-35
0 to < 200 DM,27,delay in paying off in the past,car (used),5965,< 100 DM,>= 7 years,1,male : single,none,2,real estate,30,none,own,2,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,1,0.06666666444444451,220.92591774348452,25-35
no checking account,12,existing credits paid back duly till now,radio/television,1262,< 100 DM,1 to < 4 years,3,male : single,none,2,real estate,25,none,own,1,skilled employee/ official,1,none,yes,1,0.03999999840000006,105.16665790277851,<25
no checking account,18,existing credits paid back duly till now,car (used),3378,unknown/ no savings account,1 to < 4 years,2,male : single,none,1,car,31,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.032258063475546335,187.6666562407413,25-35
0 to < 200 DM,36,delay in paying off in the past,car (new),2225,< 100 DM,>= 7 years,4,male : single,none,4,savings agreement/life insurance,57,bank,for free,2,skilled employee/ official,1,"yes, registered under the customers name",yes,0,0.035087718682671604,61.80555383873462,55-65
no checking account,6,all credits at this bank paid back duly,car (new),783,unknown/ no savings account,1 to < 4 years,1,male : single,guarantor,2,none,26,stores,own,1,unskilled - resident,2,none,yes,1,0.03846153698224858,130.49997825000364,25-35
0 to < 200 DM,12,existing credits paid back duly till now,radio/television,6468,unknown/ no savings account,unemployed,2,male : single,none,1,savings agreement/life insurance,52,none,own,1,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,0,0.019230768860946754,538.9999550833371,45-55
no checking account,36,critical account/ other credits existing (not at this bank),radio/television,9566,< 100 DM,1 to < 4 years,2,female : divorced/separated/married,none,2,real estate,31,stores,own,2,skilled employee/ official,1,none,yes,1,0.06451612695109267,265.7222148410496,25-35
>= 200 DM,18,existing credits paid back duly till now,car (new),1961,< 100 DM,>= 7 years,3,female : divorced/separated/married,none,2,real estate,23,none,own,1,management/ self-employed/highly qualified employee,1,none,yes,1,0.04347825897920613,108.94443839197564,<25
< 0 DM,36,critical account/ other credits existing (not at this bank),furniture/equipment,6229,< 100 DM,< 1 year,4,female : divorced/separated/married,co-applicant,4,savings agreement/life insurance,23,none,rent,2,unskilled - resident,1,"yes, registered under the customers name",yes,0,0.08695651795841226,173.02777297145076,<25
0 to < 200 DM,9,existing credits paid back duly till now,business,1391,< 100 DM,1 to < 4 years,2,male : married/widowed,none,1,none,27,bank,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.037037035665294975,154.55553838271797,25-35
0 to < 200 DM,15,critical account/ other credits existing (not at this bank),radio/television,1537,unknown/ no savings account,>= 7 years,4,male : single,guarantor,4,none,50,none,own,2,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.03999999920000002,102.46665983555602,45-55
0 to < 200 DM,36,no credits taken/ all credits paid back duly,business,1953,< 100 DM,>= 7 years,4,male : single,none,4,savings agreement/life insurance,61,none,for free,1,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,0,0.016393442354205864,54.2499984930556,55-65
0 to < 200 DM,48,no credits taken/ all credits paid back duly,business,14421,< 100 DM,1 to < 4 years,2,male : single,none,2,real estate,25,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,0,0.03999999840000006,300.43749374088554,<25
no checking account,24,existing credits paid back duly till now,radio/television,3181,< 100 DM,< 1 year,4,female : divorced/separated/married,none,4,car,26,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.03846153698224858,132.54166114409745,25-35
no checking account,27,existing credits paid back duly till now,repairs,5190,unknown/ no savings account,>= 7 years,4,male : single,none,4,car,48,none,own,4,skilled employee/ official,2,"yes, registered under the customers name",yes,1,0.08333333159722227,192.2222151028809,45-55
no checking account,12,existing credits paid back duly till now,radio/television,2171,< 100 DM,< 1 year,2,female : divorced/separated/married,none,2,real estate,29,bank,own,1,skilled employee/ official,1,none,yes,1,0.034482757431629055,180.91665159027906,25-35
0 to < 200 DM,12,existing credits paid back duly till now,car (new),1007,>= 1000 DM,1 to < 4 years,4,male : married/widowed,none,1,none,22,none,own,1,skilled employee/ official,1,none,yes,1,0.045454543388429844,83.9166596736117,<25
no checking account,36,existing credits paid back duly till now,education,1819,< 100 DM,1 to < 4 years,4,male : single,none,4,savings agreement/life insurance,37,stores,for free,1,skilled employee/ official,1,"yes, registered under the customers name",yes,0,0.027027026296566857,50.52777637422844,35-45
no checking account,36,existing credits paid back duly till now,radio/television,2394,unknown/ no savings account,1 to < 4 years,4,female : divorced/separated/married,none,4,real estate,25,none,own,1,skilled employee/ official,1,none,yes,1,0.03999999840000006,66.49999815277783,<25
no checking account,36,existing credits paid back duly till now,car (used),8133,< 100 DM,1 to < 4 years,1,female : divorced/separated/married,none,2,car,30,bank,own,1,skilled employee/ official,1,none,yes,1,0.033333332222222255,225.9166603912039,25-35
no checking account,7,critical account/ other credits existing (not at this bank),radio/television,730,unknown/ no savings account,>= 7 years,4,male : single,none,2,car,46,none,rent,2,unskilled - resident,1,"yes, registered under the customers name",yes,1,0.04347825992438566,104.28569938775723,45-55
< 0 DM,8,critical account/ other credits existing (not at this bank),others,1164,< 100 DM,>= 7 years,3,male : single,none,4,savings agreement/life insurance,51,bank,for free,2,management/ self-employed/highly qualified employee,2,"yes, registered under the customers name",yes,1,0.0392156855055748,145.49998181250228,45-55
0 to < 200 DM,42,critical account/ other credits existing (not at this bank),business,5954,< 100 DM,4 to < 7 years,2,female : divorced/separated/married,none,1,none,41,bank,own,2,unskilled - resident,1,none,yes,1,0.048780486615110086,141.76190138662142,35-45
< 0 DM,36,existing credits paid back duly till now,education,1977,unknown/ no savings account,>= 7 years,4,male : single,none,4,savings agreement/life insurance,40,none,own,1,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,0,0.024999999375000016,54.91666514120375,35-45
< 0 DM,12,critical account/ other credits existing (not at this bank),car (used),1526,< 100 DM,>= 7 years,4,male : single,none,4,savings agreement/life insurance,66,none,for free,2,management/ self-employed/highly qualified employee,1,none,yes,1,0.03030302984389349,127.16665606944534,65+
< 0 DM,42,existing credits paid back duly till now,radio/television,3965,< 100 DM,< 1 year,4,male : single,none,3,real estate,34,none,own,1,skilled employee/ official,1,none,yes,0,0.02941176384083048,94.40475965702954,25-35
0 to < 200 DM,11,delay in paying off in the past,radio/television,4771,< 100 DM,4 to < 7 years,2,male : single,none,4,car,51,none,own,1,skilled employee/ official,1,none,yes,1,0.0196078427527874,433.72723329752426,45-55
no checking account,54,no credits taken/ all credits paid back duly,car (used),9436,unknown/ no savings account,1 to < 4 years,2,male : single,none,2,car,39,none,own,1,unskilled - resident,2,none,yes,1,0.025641024983563465,174.74073750480116,35-45
0 to < 200 DM,30,existing credits paid back duly till now,furniture/equipment,3832,< 100 DM,< 1 year,2,male : married/widowed,none,1,car,22,none,own,1,skilled employee/ official,1,none,yes,1,0.045454543388429844,127.73332907555569,<25
no checking account,24,existing credits paid back duly till now,radio/television,5943,unknown/ no savings account,< 1 year,1,female : divorced/separated/married,none,1,real estate,44,none,own,2,skilled employee/ official,1,"yes, registered under the customers name",yes,0,0.04545454442148763,247.6249896822921,35-45
no checking account,15,existing credits paid back duly till now,radio/television,1213,500 to < 1000 DM,>= 7 years,4,male : single,none,3,car,47,stores,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.021276595291987336,80.86666127555591,45-55
no checking account,18,existing credits paid back duly till now,business,1568,100 to < 500 DM,1 to < 4 years,3,female : divorced/separated/married,none,4,car,24,none,rent,1,unskilled - resident,1,none,yes,1,0.041666664930555625,87.11110627160521,<25
< 0 DM,24,existing credits paid back duly till now,others,1755,< 100 DM,>= 7 years,4,female : divorced/separated/married,guarantor,4,none,58,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,1,0.017241379013079674,73.12499695312512,55-65
< 0 DM,10,existing credits paid back duly till now,radio/television,2315,< 100 DM,>= 7 years,3,male : single,none,4,none,52,none,own,1,unskilled - resident,1,none,yes,1,0.019230768860946754,231.49997685000233,45-55
no checking account,12,critical account/ other credits existing (not at this bank),business,1412,< 100 DM,1 to < 4 years,4,female : divorced/separated/married,guarantor,2,none,29,none,own,2,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,1,0.06896551486325811,117.66665686111193,25-35
0 to < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,1295,< 100 DM,< 1 year,4,female : divorced/separated/married,none,1,car,27,none,own,2,skilled employee/ official,1,none,yes,1,0.07407407133058995,71.94444044753108,25-35
0 to < 200 DM,36,existing credits paid back duly till now,education,12612,100 to < 500 DM,1 to < 4 years,1,male : single,none,4,savings agreement/life insurance,47,none,for free,1,skilled employee/ official,2,"yes, registered under the customers name",yes,0,0.021276595291987336,350.33332360185216,45-55
< 0 DM,18,existing credits paid back duly till now,car (new),2249,100 to < 500 DM,4 to < 7 years,4,male : single,none,3,real estate,30,none,own,1,management/ self-employed/highly qualified employee,2,"yes, registered under the customers name",yes,1,0.033333332222222255,124.9444375030868,25-35
< 0 DM,12,no credits taken/ all credits paid back duly,repairs,1108,< 100 DM,4 to < 7 years,4,male : single,none,3,none,28,none,own,2,skilled employee/ official,1,none,yes,0,0.07142856887755111,92.33332563888953,25-35
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,618,< 100 DM,>= 7 years,4,male : single,none,4,none,56,none,own,1,skilled employee/ official,1,none,yes,1,0.017857142538265314,51.49999570833369,55-65
< 0 DM,12,critical account/ other credits existing (not at this bank),car (used),1409,< 100 DM,>= 7 years,4,male : single,none,3,none,54,none,own,1,skilled employee/ official,1,none,yes,1,0.018518518175582997,117.41665688194527,45-55
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,797,unknown/ no savings account,>= 7 years,4,female : divorced/separated/married,none,3,car,33,bank,own,1,unskilled - resident,2,none,yes,0,0.030303029384756687,66.4166611319449,25-35
>= 200 DM,24,critical account/ other credits existing (not at this bank),furniture/equipment,3617,unknown/ no savings account,>= 7 years,4,male : single,co-applicant,4,savings agreement/life insurance,20,none,rent,2,skilled employee/ official,1,none,yes,1,0.09999999500000024,150.7083270538197,<25
0 to < 200 DM,12,existing credits paid back duly till now,car (new),1318,>= 1000 DM,>= 7 years,4,male : single,none,4,none,54,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.018518518175582997,109.83332418055633,45-55
0 to < 200 DM,54,no credits taken/ all credits paid back duly,business,15945,< 100 DM,< 1 year,3,male : single,none,4,savings agreement/life insurance,58,none,rent,1,skilled employee/ official,1,"yes, registered under the customers name",yes,0,0.017241379013079674,295.2777723096709,55-65
no checking account,12,critical account/ other credits existing (not at this bank),education,2012,unknown/ no savings account,4 to < 7 years,4,female : divorced/separated/married,none,2,real estate,61,none,own,1,skilled employee/ official,1,none,yes,1,0.016393442354205864,167.66665269444562,55-65
0 to < 200 DM,18,existing credits paid back duly till now,business,2622,100 to < 500 DM,1 to < 4 years,4,male : single,none,4,real estate,34,none,own,1,skilled employee/ official,1,none,yes,1,0.02941176384083048,145.66665857407452,25-35
0 to < 200 DM,36,critical account/ other credits existing (not at this bank),radio/television,2337,< 100 DM,>= 7 years,4,male : single,none,4,none,36,none,own,1,skilled employee/ official,1,none,yes,1,0.027777777006172864,64.91666486342598,35-45
0 to < 200 DM,20,delay in paying off in the past,car (used),7057,unknown/ no savings account,4 to < 7 years,3,male : single,none,4,car,36,bank,rent,2,management/ self-employed/highly qualified employee,2,"yes, registered under the customers name",yes,1,0.05555555401234573,352.8499823575009,35-45
no checking account,24,existing credits paid back duly till now,car (new),1469,100 to < 500 DM,>= 7 years,4,male : married/widowed,none,4,none,41,none,rent,1,unskilled - resident,1,none,yes,1,0.024390243307555043,61.208330782986216,35-45
0 to < 200 DM,36,existing credits paid back duly till now,radio/television,2323,< 100 DM,4 to < 7 years,4,male : single,none,4,real estate,24,none,rent,1,skilled employee/ official,1,none,yes,1,0.041666664930555625,64.52777598533956,<25
no checking account,6,delay in paying off in the past,radio/television,932,< 100 DM,1 to < 4 years,3,female : divorced/separated/married,none,2,none,24,none,own,1,skilled employee/ official,1,none,yes,1,0.041666664930555625,155.33330744444876,<25
0 to < 200 DM,9,critical account/ other credits existing (not at this bank),furniture/equipment,1919,< 100 DM,4 to < 7 years,4,male : single,none,3,real estate,35,none,rent,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.028571427755102068,213.22219853086685,25-35
no checking account,12,existing credits paid back duly till now,car (used),2445,unknown/ no savings account,< 1 year,2,male : married/widowed,none,4,real estate,26,none,rent,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.03846153698224858,203.74998302083475,25-35
0 to < 200 DM,24,critical account/ other credits existing (not at this bank),others,11938,< 100 DM,1 to < 4 years,2,male : single,co-applicant,3,real estate,39,none,own,2,management/ self-employed/highly qualified employee,2,"yes, registered under the customers name",yes,0,0.05128204996712693,497.41664594097307,35-45
no checking account,18,all credits at this bank paid back duly,car (new),6458,< 100 DM,>= 7 years,2,male : single,none,4,savings agreement/life insurance,39,bank,own,2,management/ self-employed/highly qualified employee,2,"yes, registered under the customers name",yes,0,0.05128204996712693,358.77775784568007,35-45
0 to < 200 DM,12,existing credits paid back duly till now,car (new),6078,< 100 DM,4 to < 7 years,2,male : single,none,2,real estate,32,none,own,1,skilled employee/ official,1,none,yes,1,0.031249999023437534,506.4999577916702,25-35
< 0 DM,24,existing credits paid back duly till now,furniture/equipment,7721,unknown/ no savings account,< 1 year,1,female : divorced/separated/married,none,2,car,30,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",no,1,0.033333332222222255,321.70831992882,25-35
0 to < 200 DM,14,existing credits paid back duly till now,business,1410,500 to < 1000 DM,>= 7 years,1,male : married/widowed,none,2,none,35,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.028571427755102068,100.71427852040868,25-35
0 to < 200 DM,6,delay in paying off in the past,business,1449,100 to < 500 DM,>= 7 years,1,male : divorced/separated,none,2,real estate,31,bank,own,2,skilled employee/ official,2,none,yes,1,0.06451612695109267,241.4999597500067,25-35
>= 200 DM,15,existing credits paid back duly till now,education,392,< 100 DM,< 1 year,4,female : divorced/separated/married,none,4,car,23,none,rent,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.04347825897920613,26.13333159111123,<25
0 to < 200 DM,18,existing credits paid back duly till now,car (new),6260,< 100 DM,4 to < 7 years,3,male : single,none,3,none,28,none,rent,1,unskilled - resident,1,none,yes,1,0.035714284438775556,347.77775845679116,25-35
no checking account,36,critical account/ other credits existing (not at this bank),car (new),7855,< 100 DM,1 to < 4 years,4,female : divorced/separated/married,none,2,none,25,stores,own,2,skilled employee/ official,1,"yes, registered under the customers name",yes,0,0.07999999680000013,218.19443838348784,<25
< 0 DM,12,existing credits paid back duly till now,radio/television,1680,500 to < 1000 DM,>= 7 years,3,male : married/widowed,none,1,none,35,none,own,1,skilled employee/ official,1,none,yes,1,0.028571427755102068,139.9999883333343,25-35
no checking account,48,critical account/ other credits existing (not at this bank),radio/television,3578,unknown/ no savings account,>= 7 years,4,male : single,none,1,none,47,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.021276595291987336,74.54166511371531,45-55
< 0 DM,42,existing credits paid back duly till now,radio/television,7174,unknown/ no savings account,4 to < 7 years,4,female : divorced/separated/married,none,3,real estate,30,none,own,1,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,0,0.033333332222222255,170.8095197426305,25-35
< 0 DM,10,critical account/ other credits existing (not at this bank),furniture/equipment,2132,unknown/ no savings account,< 1 year,2,female : divorced/separated/married,co-applicant,3,none,27,none,rent,2,skilled employee/ official,1,none,no,1,0.07407407133058995,213.19997868000215,25-35
